Barcode,Catalog Number,Catalog,Special Collections,Division,Order,Family,Subfamily,Tribe,Taxonomic Name (Filed As : Identified By : Identification Date),Other Taxonomic Names (Identification : Identified By : Date Identified),Name Hierarchy,Common Name (Name : Language),Type Citations (Scientific Name : Type Status : Verification Degree : Citation),Lectotypified By,Taxonomy Remarks,Collection Remarks,Collector(s),Collection Number,Date Collected,Biogeographic Region,Archipelago,Country,Province/State,District/County,Precise Locality,Island Name,Centroid Latitude,Centroid Longitude,Elevation (m),Conservation Status (Authority : Status),Habit,Microhabitat Description,Other Counts (Type : Value),Other Numbers (Type : Value),Cultivated,Recent/Fossil,Notes,Genetic Sample Type,Biorepository Number,Bold ID,GenBank Numbers,Field Id Number,Preservation Method,Embargo?,Depleted?,Storage Location,Record Last Modified,EZID
"02355035","447469","Flowering plants and ferns","","","Rosales","Fabaceae","Faboideae","","Psophocarpus tetragonolobus (L.) DC.","","3914 : Psophocarpus tetragonolobus (L.) DC. : Fabaceae : Rosales : Dicotyledonae","Kahilu Kamambi; andor borong; kasang djorbing; Jaat; Keciper","",,"","","Mearns, E. A.","108","21 Jan 1904","42 - Malesia","","Philippines","Zamboanga Peninsula","","Zamboanga, Mindanao","","","","",,"","",,,"","",,"","","","","","","","","","19 Dec 2017 14:50:00","http://n2t.net/ark:/65665/391111d4b-81b6-42f2-82b7-5df1b718fbe6"
"02737718","625728","Flowering plants and ferns","","","Rubiales","Rubiaceae","","","Psychotria diffusa var. diffusa","","8399 : Psychotria diffusa var. diffusa : Rubiaceae : Rubiales : Dicotyledonae","","",,"","","Mearns, E. A.","Bureau of Science 2488","Apr 1907","42 - Malesia","","Philippines","","","Baguis, Province of Benguet, Luzon","","","","",,"","",,,"","",,"","","","","","","","","","19 Dec 2017 16:17:00","http://n2t.net/ark:/65665/3b4459a98-41dd-402f-a968-52cb6bcaefb1"
"01481627","447618","Flowering plants and ferns","","","Polypodiales","Pteridaceae","","","Pteris ensiformis Burm. f.","","F106 : Pteris ensiformis Burm. f. : Pteridaceae : Polypodiales : Pteridophyte","","",,"","","Mearns, E. A.","s.n.","20 Apr 1904","42 - Malesia","","Philippines","","","Placer; Mindanao","","","","",,"","",,,"","",,"","","","","","","","","","21 Sep 2016 04:09:00","http://n2t.net/ark:/65665/3cbfce15e-c4a6-431d-b76b-8e8e211cd4e4"
"01482119","615649","Flowering plants and ferns","","","Polypodiales","Pteridaceae","","","Pteris sp.","","F106 : Pteris sp. : Pteridaceae : Polypodiales : Pteridophyte","brake fern","",,"","","Mearns, E. A.","s.n.","3 Oct 1903 to 6 Oct 1903","42 - Malesia","","Philippines","","","Philippine Islands, Butig Mts., Mindanao","","","","914 - 1524",,"","",,,"","",,"","","","","","","","","","01 Nov 2016 00:09:00","http://n2t.net/ark:/65665/35b67f04b-9602-46a6-8f63-b557ce391a53"
"01481980","447463","Flowering plants and ferns","","","Polypodiales","Pteridaceae","","","Pteris tripartita Sw.","","F106 : Pteris tripartita Sw. : Pteridaceae : Polypodiales : Pteridophyte","","",,"","","Mearns, E. A.","99","16 Feb 1904","42 - Malesia","","Philippines","","","Philippine Islands, Sindangan Bay: Mindanao","","","","",,"","",,,"","",,"","","","","","","","","","01 Nov 2016 00:13:00","http://n2t.net/ark:/65665/329f8b7f3-f5dc-4d78-aaf9-cda6b3bdc15c"
"01481978","447461","Flowering plants and ferns","","","Polypodiales","Pteridaceae","","","Pteris tripartita Sw.","","F106 : Pteris tripartita Sw. : Pteridaceae : Polypodiales : Pteridophyte","","",,"","","Mearns, E. A.","97","16 Feb 1904","42 - Malesia","","Philippines","","","Philippine Islands, Sandangan Bay, Mindanao","","","","",,"","",,,"","",,"","","","","","","","","","20 Sep 2016 22:01:00","http://n2t.net/ark:/65665/35fa6cf63-d93e-4269-960a-eeb6dbf4686a"
"01481979","447462","Flowering plants and ferns","","","Polypodiales","Pteridaceae","","","Pteris tripartita Sw.","","F106 : Pteris tripartita Sw. : Pteridaceae : Polypodiales : Pteridophyte","","",,"","","Mearns, E. A.","98","16 Feb 1904","42 - Malesia","","Philippines","","","Sindangan Bay; Mindanao","","","","",,"","",,,"","",,"","","","","","","","","","31 Oct 2016 23:36:00","http://n2t.net/ark:/65665/3662428cc-b384-4147-8cf1-32bcdf82ffd4"
"01403861","628622","Flowering plants and ferns","","","Marattiales","Marattiaceae","","","Ptisana sylvatica (Blume) Murdock","","F017 : Ptisana sylvatica (Blume) Murdock : Marattiaceae : Marattiales : Pteridophyte","","",,"","","Mearns, E. A.","Bureau of Science 2860","Apr 1907","42 - Malesia","","Philippines","","","Province of Benguet, Luzon","","","","",,"","",,,"","",,"","","","","","","","","","20 Jul 2016 16:48:00","http://n2t.net/ark:/65665/3ef8592dc-bc79-4ff7-bdff-a1c8a01769e9"
"01589534","447472","Flowering plants and ferns","","","Polypodiales","Polypodiaceae","","","Pyrrosia lanceolata (L.) Farw.","","F255 : Pyrrosia lanceolata (L.) Farw. : Polypodiaceae : Polypodiales : Pteridophyte","","",,"","","Mearns, E. A.","111","21 Jan 1904","42 - Malesia","","Philippines","","","Zamboanga, Mindanao.","","","","",,"","",,,"","",,"","","","","","","","","","01 Nov 2016 19:54:00","http://n2t.net/ark:/65665/3b51dd706-b118-4673-9a5a-02ea55249c9e"
"01589541","447552","Flowering plants and ferns","","","Polypodiales","Polypodiaceae","","","Pyrrosia lanceolata (L.) Farw.","","F255 : Pyrrosia lanceolata (L.) Farw. : Polypodiaceae : Polypodiales : Pteridophyte","","",,"","","Mearns, E. A.","s.n.","25 Feb 1904","42 - Malesia","","Philippines","Muslim Mindanao","","Cagayan - Sulu Island.","","","","",,"","",,,"","",,"","","","","","","","","","01 Nov 2016 16:49:00","http://n2t.net/ark:/65665/33bb2b29e-b51d-4b8e-8493-85d944d728f0"
