Catalog Number - USNM,Kind of Object,Special Collections,Specimen Count,Identification,Other Identifications,Name Hierarchy,Type Status,Type Citations,Order,Family,Subfamily,Date Collected,Ocean,Sea/Gulf,Archipelago,Island Grouping,Island Name,Continent,Country,Province/State,District/County,Precise Locality,Centroid Latitude,Centroid Longitude,Collector(s),Field Number(s),Other Numbers (Type : Value),Vessel,Cruise,Station,Expedition,Collection Method,Depth (m),Source of Sample,Preparation Details (Preparation:Location:Count),Measurements,Notes,Accession Number,Genetic Sample Type,Biorepository Number,Specimen Voucher Number,Bold ID,GenBank Numbers,Preservation Method,Embargo?,Depleted?,Record Last Modified,EZID
"RAD 105127","Image","Radiograph Collection",1,"Apogon","","Apogon : Apogonidae : Perciformes : Actinopterygii : Chordata","","","Perciformes","Apogonidae","Apogoninae",,"Pacific","","","","","","Philippines","","","Zamboanga, Philippines","","","Mearns, E. A.","","Catalog Number : USNM 57964","","","","","","","","Acetate:MSC:1",,"","2078776","","","","","","","","","13 May 2019 18:49:00","http://n2t.net/ark:/65665/38c5066a2-37cb-4d54-b669-08c6f34bbf72"
"57944","Specimen/Lot","",5,"Archamia macroptera","","Archamia macroptera : Apogonidae : Perciformes : Actinopterygii : Chordata","","","Perciformes","Apogonidae","Apogoninae",,"Pacific","","","","","","Philippines","","","Zamboanga, Philippines","","","Mearns, E. A.","","","","","","","","","",,,"","000000","","","","","","","","","13 May 2019 18:49:00","http://n2t.net/ark:/65665/3d0edbaa8-ce11-48ae-98c3-73de664633ee"
"57936","Specimen/Lot","",2,"Arothron immaculatus","Tetraodon immaculatus","Arothron immaculatus : Tetraodontidae : Tetraodontiformes : Actinopterygii : Chordata","","","Tetraodontiformes","Tetraodontidae","Tetraodontinae",,"Pacific","","","","","","Philippines","","","Philippine Islands","","","Mearns, E. A.","","","","","","","","","",,,"","046983","","","","","","","","","13 May 2019 18:49:00","http://n2t.net/ark:/65665/31f9c9362-355e-4d26-b7ff-8fb4db7ce23e"
"57950","Specimen/Lot","",1,"Arothron manilensis","Tetraodon immaculatus","Arothron manilensis : Tetraodontidae : Tetraodontiformes : Actinopterygii : Chordata","","","Tetraodontiformes","Tetraodontidae","Tetraodontinae","1906","Pacific","","","","Mindanao","","Philippines","","","Philippine Islands: Zamboanga, Mindanao","","","Mearns, E. A.","","","","","","","","","",,,"","046985","","","","","","","","","13 May 2019 18:49:00","http://n2t.net/ark:/65665/382aaef18-a25c-4684-8601-f1f85f15b603"
"57973","Specimen/Lot","",2,"Arothron reticularis","Tetraodon reticularis","Arothron reticularis : Tetraodontidae : Tetraodontiformes : Actinopterygii : Chordata","","","Tetraodontiformes","Tetraodontidae","Tetraodontinae",,"Pacific","","","","","","Philippines","","","Zamboanga, Philippines","","","Mearns, E. A.","","","","","","","","","",,,"Juvenile. Identification needs to be verified.","046985","","","","","","","","","13 May 2019 18:49:00","http://n2t.net/ark:/65665/3f4fe26ba-727b-45ce-ad96-85eddeafa6d3"
"57963","Specimen/Lot","",81,"Atherinomorus","","Atherinomorus : Atherinidae : Atheriniformes : Actinopterygii : Chordata","","","Atheriniformes","Atherinidae","Atherininae",,"Pacific","","","","","","Philippines","","","Zamboanga, Philippines","","","Mearns, E. A.","","","","","","","","","",,,"Counted aug. 1922, symbol of infinity is under the count, also a label in the jar identifies these fish as pranesus except large ones","046985","","","","","","","","","13 May 2019 18:49:00","http://n2t.net/ark:/65665/317044ece-02f4-49e5-ad1a-6adec841d905"
"134279","Specimen/Lot","",2,"Atherinomorus lacunosus","","Atherinomorus lacunosus : Atherinidae : Atheriniformes : Actinopterygii : Chordata","","","Atheriniformes","Atherinidae","Atherininae",,"Pacific","","","","","","Philippines","","","Philippine Islands","","","Mearns, E. A.","","","","","","","","","",,,"Out of 57938","046983","","","","","","","","","13 May 2019 18:49:00","http://n2t.net/ark:/65665/3cb1d8ac3-4469-469b-a391-54411e372d58"
"73875","Specimen/Lot","Oversize Jar",1,"Balistoides viridescens","Balistes flavimarginatus","Balistoides viridescens : Balistidae : Tetraodontiformes : Actinopterygii : Chordata","","","Tetraodontiformes","Balistidae","",,"Pacific","","","","","","Philippines","","","Philippine Islands","","","Mearns, E. A.","","","","","","","","","",":MSC - Oh My Collection",,"","046985","","","","","","","","","13 May 2019 18:49:00","http://n2t.net/ark:/65665/3a837c3dd-7567-45da-acda-b53c04ca17ef"
"57840","Specimen/Lot","Types",1,"Barbus quinquemaculatus","","Barbus quinquemaculatus : Cyprinidae : Cypriniformes : Actinopterygii : Chordata","Type","","Cypriniformes","Cyprinidae","",,"","","","","Mindanao","Asia","Philippines","Zamboanga del Sur","","Zamboanga, P. I.","","","Mearns, E. A.","","","","","","","","","",,,"85a","000000","","","","","","","","","13 May 2019 18:49:00","http://n2t.net/ark:/65665/3ed2fae02-211e-4fce-9c20-eee6ed9d07e5"
"61155","Specimen/Lot","",6,"Barbus quinquemaculatus","","Barbus quinquemaculatus : Cyprinidae : Cypriniformes : Actinopterygii : Chordata","","","Cypriniformes","Cyprinidae","",,"","","","","Mindanao","Asia","Philippines","Zamboanga del Sur","","Zamboanga, P. I.","","","Mearns, E. A.","","","","","","","","","",,,"Acc. no. 46983 & 5.","046983","","","","","","","","","13 May 2019 18:49:00","http://n2t.net/ark:/65665/3f4e113d3-4fcf-45fe-9463-bd5f45a19c70"
