Museum,Catalog Number - USNM,Special Collections,Class,Order,Family,Genus species,Other Identifications,Name Hierarchy,Type Status,Type Citations,Taxonomic Notes,Country,Province/State,District/County,Precise Locality,Centroid Latitude,Centroid Longitude,Elevation (m),Expedition/Project,Field Number(s),Date Collected,Preparation Details (Preparation:Remarks),Inventory Status,Status Remarks,Genetic Sample Type,Biorepository Number,Bold ID,GenBank Numbers,Preservation Method,Embargo?,Depleted?,Record Last Modified,EZID
"NMNH","34825","Specimen","Amphibia","Anura","Bufonidae","Ansonia muelleri","","Ansonia muelleri : Bufonidae : Anura : Amphibia : Chordata","","","","Philippines","Mindanao Island","","Mount Apo","","","1219 - 1829","","No Field Number","2 Jul 1904 to 10 Jul 1904 (02-10 July 1904)","Ethanol","In collection","","","","","","","","","02 Oct 2018 13:09:00","http://n2t.net/ark:/65665/37abfff97-2876-4223-a339-79af809b5b4e"
"NMNH","34829","Specimen","Amphibia","Anura","Bufonidae","Ansonia muelleri","","Ansonia muelleri : Bufonidae : Anura : Amphibia : Chordata","","","","Philippines","Mindanao Island","","Mount Apo","","","1219 - 1829","","No Field Number","2 Jul 1904 to 10 Jul 1904 (02-10 July 1904)","Ethanol","In collection","","","","","","","","","02 Oct 2018 13:09:00","http://n2t.net/ark:/65665/37697dcf5-2c5f-46f5-a141-ed80c4c3abd5"
"NMNH","34830","Specimen","Amphibia","Anura","Bufonidae","Ansonia muelleri","","Ansonia muelleri : Bufonidae : Anura : Amphibia : Chordata","","","","Philippines","Mindanao Island","","Mount Apo","","","1219 - 1829","","No Field Number","2 Jul 1904 to 10 Jul 1904 (02-10 July 1904)","Ethanol","In collection","","","","","","","","","02 Oct 2018 13:09:00","http://n2t.net/ark:/65665/3250afc5d-9688-41b2-a5a7-30add83f41e8"
"NMNH","34832","Specimen","Amphibia","Anura","Bufonidae","Ansonia muelleri","","Ansonia muelleri : Bufonidae : Anura : Amphibia : Chordata","","","","Philippines","Mindanao Island","","Mount Apo","","","1219 - 1829","","No Field Number","2 Jul 1904 to 10 Jul 1904 (02-10 July 1904)","Ethanol","In collection","","","","","","","","","02 Oct 2018 13:09:00","http://n2t.net/ark:/65665/3b6438833-4910-4064-b957-453c12f7a1b3"
"NMNH","34834","Specimen","Amphibia","Anura","Bufonidae","Ansonia muelleri","","Ansonia muelleri : Bufonidae : Anura : Amphibia : Chordata","","","","Philippines","Mindanao Island","","Mount Apo","","","1219 - 1829","","No Field Number","2 Jul 1904 to 10 Jul 1904 (02-10 July 1904)","Ethanol","In collection","","","","","","","","","02 Oct 2018 13:09:00","http://n2t.net/ark:/65665/3dbd3c6ca-61aa-48d6-9299-cc4212d1f230"
"NMNH","34835","Specimen","Amphibia","Anura","Bufonidae","Ansonia muelleri","","Ansonia muelleri : Bufonidae : Anura : Amphibia : Chordata","","","","Philippines","Mindanao Island","","Mount Apo","","","1219 - 1829","","No Field Number","2 Jul 1904 to 10 Jul 1904 (02-10 July 1904)","Ethanol","In collection","","","","","","","","","02 Oct 2018 13:09:00","http://n2t.net/ark:/65665/3eaba3157-494e-410c-9518-8a59742624b0"
"NMNH","34836","Specimen","Amphibia","Anura","Bufonidae","Ansonia muelleri","","Ansonia muelleri : Bufonidae : Anura : Amphibia : Chordata","","","","Philippines","Mindanao Island","","Mount Apo","","","1219 - 1829","","No Field Number","2 Jul 1904 to 10 Jul 1904 (02-10 July 1904)","Ethanol","In collection","","","","","","","","","02 Oct 2018 13:09:00","http://n2t.net/ark:/65665/3af1ffb0f-d211-49fe-8f56-09fae0a3d6f0"
"NMNH","34837","Specimen","Amphibia","Anura","Bufonidae","Ansonia muelleri","","Ansonia muelleri : Bufonidae : Anura : Amphibia : Chordata","","","","Philippines","Mindanao Island","","Mount Apo","","","1219 - 1829","","No Field Number","2 Jul 1904 to 10 Jul 1904 (02-10 July 1904)","Ethanol","In collection","","","","","","","","","02 Oct 2018 13:09:00","http://n2t.net/ark:/65665/3121bbc38-3df3-4e6d-9c0c-6bc6974cef0c"
"NMNH","34838","Specimen","Amphibia","Anura","Bufonidae","Ansonia muelleri","","Ansonia muelleri : Bufonidae : Anura : Amphibia : Chordata","","","","Philippines","Mindanao Island","","Mount Apo","","","1219 - 1829","","No Field Number","2 Jul 1904 to 10 Jul 1904 (02-10 July 1904)","Ethanol","In collection","","","","","","","","","02 Oct 2018 13:09:00","http://n2t.net/ark:/65665/3d0cb60f9-b4c7-4b2c-ba6d-870e9daa13f1"
"NMNH","34842","Specimen","Amphibia","Anura","Bufonidae","Ansonia muelleri","","Ansonia muelleri : Bufonidae : Anura : Amphibia : Chordata","","","","Philippines","Mindanao Island","","Mount Apo","","","1219 - 1829","","No Field Number","2 Jul 1904 to 10 Jul 1904 (02-10 July 1904)","Ethanol","In collection","","","","","","","","","02 Oct 2018 13:09:00","http://n2t.net/ark:/65665/30bdc51c5-ddeb-4cc5-a3e8-cca3c7af502f"
